"origin","nb_outlinks","outlinks","weights","nb_airlines"
"SPU","67","AMS ARN ATH BCN BEG BER BGO BHX BIO BOD BRI BRS BRU BSL CDG CGN CPH DUB DUS EDI EWR FCO FRA GDN GLA GOT GVA HAM HEL IST KRK KTW LBA LCY LGW LHR LIL LIN LPL LTN LUZ LYS MAD MAN MRS MUC MXP NAP NTE OPO ORY OSI OSL PRG RIX RTM STN STR SVG TLL TLS TRD VIE WAW WRO ZAG ZRH","2 3 3 1 1 3 2 1 1 1 1 1 2 1 3 1 3 3 2 1 1 2 3 1 1 1 1 1 2 1 1 1 1 1 3 2 1 1 1 2 1 3 1 3 1 2 1 2 2 1 2 1 3 2 1 1 1 1 2 1 1 2 2 2 1 1 2","31"
"SPX","21","AHB AUH AYT BER BUD CDG DXB FCO GVA JED KWI LTN MCT MED MXP NAP NCE RUH SAW SHJ ZRH","1 1 1 1 1 1 1 1 1 1 2 2 1 1 2 1 1 1 1 1 1","10"
"SPY","1","ABJ","1","1"
"SQD","15","CAN CGO CKG DLC HAK HRB KMG NNG PEK SYX SZX TFU TSN TYN XIY","1 1 1 1 1 1 1 1 1 1 1 1 2 1 1","6"
"SQG","1","PNK","1","1"
"SQJ","7","CKG CTU KMG LXA PKX SHA TAO","1 1 1 1 1 1 1","4"
"SQL","1","TKF","1","67"
"SQN","2","AMQ TTE","1 1","1"
"SQR","1","UPG","2","2"
"SRE","3","CBB LPB VVI","2 1 2","2"
"SRG","14","BDJ BPN BTH CGK DPS KUL KWB PKN PKY PNK SIN SMQ SUB UPG","2 2 1 3 1 1 1 2 1 1 1 1 1 1","10"
"SRK","1","NAQ","1","1"
"SRN","0","","","40"
"SRP","1","OSL","1","1"
"SRQ","71","ABE ALB ATL ATW AUS AVL BDL BLV BNA BOS BUF BWI CAK CID CLE CLT CMH CVG DAL DCA DEN DFW DSM DTW EWR FNT FWA GRR GSP HOU HPN HVN IAD IAH ILG IND ISP JFK LCK LEX LGA MCI MCO MDT MDW MIA MKE MLI MSP OMA ORD PBG PHL PIA PIT PSM PVD PWM RDU RFD RIC ROA ROC SBN SDF STL SYR TOL TUL TYS YYZ","1 2 1 1 1 1 1 1 2 3 1 1 2 1 2 2 1 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 3 1 4 1 3 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1","14"
"SRT","0","","","2"
"SRU","1","MDL","1","1"
"SRV","1","ANI","1","1"
"SRY","13","AWZ BND DWC GSM IFN JED KIH MED MHD PGU SYZ THR ZBR","1 1 1 1 2 1 2 1 6 3 2 4 1","9"
"SSA","39","AEP AJU BPS BRA BSB CDG CGH CNF COR CPV CWB EZE FOR GIG GNM GRU GYN IOS JPA LEC LIS MAD MCZ MVD MXQ NAT PBA PNZ POA PTY RAO REC SCL SDU SLZ THE VCP VDC VIX","2 2 2 1 3 1 3 2 1 1 1 2 2 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 2 1","11"
"SSE","4","BLR BOM GOX HYD","1 1 1 1","2"
"SSG","12","ADD BSG CDG CMN DLA FRA GEM LBV LFW MAD NSI PHC","1 2 1 1 3 1 1 1 2 2 1 2","11"
"SSH","122","AAR ADB AER AKX ALA ALG AMM AMS ARN ATH AYT BAH BBU BCN BEG BER BEY BFS BGW BGY BHX BLQ BQT BRI BRS BRU BSZ BUD CAI CDG CEK CIT CMN CPH CTA CZL DME DNK DUS EDI EIN EMA EVN FCO FRA GLA GME GOJ GUW GVA GYD HBE HRG HRK IST JED KBP KGD KHE KRR KSN KTW KUF KWI KZN LBA LED LGW LPL LTN LWO LXR MAD MAN MCX MRV MSQ MUC MVQ MXP NAP NCL NLV NQZ OGZ OMS ORN PEE PPK PRG PSR RAK RDO REN RIX RMI RMO RUH SAW SCO SKX SOF STN SVO SVX TAS TJM TLL TNG UFA URA UWWW VCE VIE VKO VNO VOG VRN VTB WAW ZIA ZRH","1 1 8 3 3 1 3 2 1 1 2 1 1 1 1 2 3 1 1 3 3 2 1 3 2 1 1 1 5 1 3 1 2 3 3 1 4 1 1 2 1 2 2 4 1 2 1 4 1 1 2 2 2 3 2 5 3 2 1 3 2 1 3 2 7 1 7 5 1 2 3 2 1 3 1 2 1 1 1 5 5 2 1 3 1 1 1 6 1 2 1 1 1 1 2 1 1 4 2 1 1 1 2 6 3 4 3 1 1 5 2 4 2 1 2 1 2 1 1 1 1 1","64"
"SSJ","6","BNN BOO OSL OSY RVK TRD","1 1 1 1 1 1","1"
"SSR","2","SON VLI","1 1","1"
"STB","2","CCS MAR","1 1","1"
"STC","2","AZA PGD","1 1","1"
"STD","5","CCS MAR MUN PMV VLN","4 1 1 1 1","5"
"STG","3","CDB DUT SNP","1 1 1","1"
"STI","11","BOS EWR FLL JFK MAD MCO MIA PHL PLS PTY SJU","1 2 1 2 1 1 2 2 2 1 2","10"
