"iata","icao","latitude","longitude","name","wikipedia_url","outdegree","outdegree_cargo","number_airlines","number_airlines_cargo"
"AOO","KAOO","40.296389","-78.320000","","https://en.wikipedia.org/wiki/Altoona–Blair_County_Airport","2","0","1","0"
"AOQ","BGAG","72.886944","-55.596111","","https://en.wikipedia.org/wiki/Aappilattoq_Heliport_(Avannaata)","1","0","1","0"
"AOR","WMKA","6.194444","100.400833","","https://en.wikipedia.org/wiki/Sultan_Abdul_Halim_Airport","3","0","3","0"
"AOT","LIMW","45.738333","7.368611","","https://en.wikipedia.org/wiki/Aosta_Valley_Airport","2","0","1","0"
"APA","KAPA","39.570000","-104.849444","","https://en.wikipedia.org/wiki/Centennial_Airport","3","0","1","0"
"APC","KAPC","38.213194","-122.280694","","https://en.wikipedia.org/wiki/Napa_County_Airport","4","0","2","0"
"APD","WAWN","-4.459500","120.310139","","https://en.wikipedia.org/wiki/Arung_Palakka_Airport","4","0","1","0"
"APF","KAPF","26.152500","-81.775556","","https://en.wikipedia.org/wiki/Naples_Airport_(Florida)","2","0","2","0"
"APL","FQNP","-15.105611","39.281800","","https://en.wikipedia.org/wiki/Nampula_Airport","6","0","3","0"
"APN","KAPN","45.078056","-83.560278","","https://en.wikipedia.org/wiki/Alpena_County_Regional_Airport","1","1","1","1"
"APO","SKLC","7.812500","-76.716667","","https://en.wikipedia.org/wiki/Antonio_Roldán_Betancourt_Airport","2","0","2","0"
"APW","NSFA","-13.829722","-172.008333","","https://en.wikipedia.org/wiki/Faleolo_International_Airport","7","0","5","0"
"AQA","SBAQ","-21.811944","-48.133056","","https://en.wikipedia.org/wiki/Araraquara_Airport","1","0","1","0"
"AQG","ZSAQ","30.582222","117.050278","","https://en.wikipedia.org/wiki/Anqing_Tianzhushan_Airport","6","0","4","0"
"AQI","OEPA","28.335222","46.124944","","https://en.wikipedia.org/wiki/Al_Qaisumah/Hafr_Al_Batin_Airport","4","0","3","0"
"AQJ","OJAQ","29.611619","35.018067","","https://en.wikipedia.org/wiki/King_Hussein_International_Airport","5","0","3","0"
"AQP","SPQU","-16.340278","-71.566667","","https://en.wikipedia.org/wiki/Rodríguez_Ballón_International_Airport","2","0","3","0"
"ARC","PARC","68.114722","-145.579444","","https://en.wikipedia.org/wiki/Arctic_Village_Airport","3","0","2","0"
"ARD","WATM","-8.131667","124.597500","","https://en.wikipedia.org/wiki/Alor_Island_Airport","1","0","1","0"
"ARH","ULAA","64.600000","40.716667","","https://en.wikipedia.org/wiki/Talagi_Airport","10","0","8","0"
"ARI","SCAR","-18.348611","-70.338889","","https://en.wikipedia.org/wiki/Chacalluta_International_Airport","5","0","4","0"
"ARK","HTAR","-3.366667","36.621944","","https://en.wikipedia.org/wiki/Arusha_Airport","14","0","7","0"
"ARM","YARM","-30.528333","151.616667","","https://en.wikipedia.org/wiki/Armidale_Airport","2","0","2","0"
"ARN","ESSA","59.651944","17.918611","","https://en.wikipedia.org/wiki/Stockholm_Arlanda_Airport","178","6","47","5"
"ART","KART","43.991944","-76.020556","","https://en.wikipedia.org/wiki/Watertown_International_Airport","1","0","1","0"
"ARU","SBAU","-21.144167","-50.426389","","https://en.wikipedia.org/wiki/Araçatuba_Airport","3","0","2","0"
"ARX","SBAC","-4.568611","-37.804722","","https://en.wikipedia.org/wiki/Aracati_Airport","1","0","1","0"
"ASB","UTAA","37.986944","58.360833","","https://en.wikipedia.org/wiki/Aşgabat_International_Airport","23","18","5","4"
"ASD","MYAF","24.698333","-77.795556","","https://en.wikipedia.org/wiki/Andros_Town_Airport","1","0","1","0"
"ASE","KASE","39.223056","-106.868889","","https://en.wikipedia.org/wiki/Aspen/Pitkin_County_Airport","12","0","4","0"
"ASF","URWA","46.283333","48.006278","","https://en.wikipedia.org/wiki/Narimanovo_Airport","10","0","9","0"
"ASI","FHAW","-7.969444","-14.393889","","https://en.wikipedia.org/wiki/RAF_Ascension_Island","0","0","0","0"
"ASJ","RJKA","28.430833","129.712500","","https://en.wikipedia.org/wiki/Amami_Airport","11","0","5","0"
"ASM","HHAS","15.291853","38.910667","","https://en.wikipedia.org/wiki/Asmara_International_Airport","7","0","6","0"
"ASO","HASO","10.018333","34.586111","","https://en.wikipedia.org/wiki/Asosa_Airport","1","0","1","0"
"ASP","YBAS","-23.806944","133.902222","","https://en.wikipedia.org/wiki/Alice_Springs_Airport","7","0","4","0"
"ASR","LTAU","38.770278","35.495278","","https://en.wikipedia.org/wiki/Erkilet_International_Airport","22","0","8","0"
"ASU","SGAS","-25.239722","-57.519167","","https://en.wikipedia.org/wiki/Silvio_Pettirossi_International_Airport","16","3","9","2"
"ASV","HKAM","-2.642222","37.250000","","https://en.wikipedia.org/wiki/Amboseli_Airport","2","0","3","0"
"ASW","HESN","23.964167","32.819722","","https://en.wikipedia.org/wiki/Aswan_International_Airport","2","0","4","0"
"ATA","SPHZ","-9.347222","-77.598611","","https://en.wikipedia.org/wiki/Huaraz_Airport","1","0","1","0"
"ATD","AGAT","-8.873333","161.011389","","https://en.wikipedia.org/wiki/Uru_Harbour_Airport","2","0","1","0"
"ATH","LGAV","37.936389","23.947222","","https://en.wikipedia.org/wiki/Athens_International_Airport","186","0","69","0"
"ATK","PATQ","70.467222","-157.435556","","https://en.wikipedia.org/wiki/Atqasuk_Edward_Burnell_Sr._Memorial_Airport","2","0","1","0"
"ATL","KATL","33.636667","-84.428056","","https://en.wikipedia.org/wiki/Hartsfield–Jackson_Atlanta_International_Airport","243","13","31","4"
"ATM","SBHT","-3.250833","-52.252222","","https://en.wikipedia.org/wiki/Altamira_Airport","1","0","1","0"
"ATQ","VIAR","31.707778","74.799167","","https://en.wikipedia.org/wiki/Sri_Guru_Ram_Das_Ji_International_Airport","15","0","8","0"
"ATT","","60.866667","-162.273056","","https://en.wikipedia.org/wiki/Atmautluak_Airport","5","0","3","0"
"ATW","KATW","44.258056","-88.519167","","https://en.wikipedia.org/wiki/Appleton_International_Airport","23","0","7","0"
"ATY","KATY","44.913889","-97.154722","","https://en.wikipedia.org/wiki/Watertown_Regional_Airport","2","0","2","0"
"ATZ","HEAT","27.046389","31.011944","","https://en.wikipedia.org/wiki/Assiut_Airport","13","0","5","0"
"AUA","TNCA","12.501389","-70.015278","","https://en.wikipedia.org/wiki/Queen_Beatrix_International_Airport","39","0","28","0"
"AUC","SKUC","7.068611","-70.734722","","https://en.wikipedia.org/wiki/Santiago_Pérez_Quiroz_Airport","4","0","4","0"
"AUG","KAUG","44.320556","-69.797222","","https://en.wikipedia.org/wiki/Augusta_State_Airport","1","0","1","0"
"AUH","OMAA","24.433056","54.651111","","https://en.wikipedia.org/wiki/Zayed_International_Airport","163","19","40","3"
"AUK","PAUK","62.683056","-164.722194","","https://en.wikipedia.org/wiki/Alakanuk_Airport","2","0","1","0"
