"origin","nb_outlinks","outlinks"
"AMS","258","AAL ABZ ACE ADB AES AGA AGP AHO AHU ALC AMM AOK ARN ATH ATL AUA AUH AUS AYT BCN BEG BER BGI BGO BHD BHX BIO BIQ BJL BKK BLL BLQ BLR BOD BOG BOM BON BOS BRE BRI BRS BRU BSL BUD CAG CAI CAN CDG CFU CGK CHQ CMN COV CPH CPT CTA CTG CUN CUR CWL DAR DBV DEL DFW DMM DPS DTW DUB DUS DXB EBB EDI EFL ESB EVN EWR EXT EZE FAO FCO FEZ FLR FOC FRA FUE GDN GEO GIG GLA GOA GOT GRO GRU GUW GVA GYE GZP HAJ HAM HAN HEL HER HKG HRG HUY HYD IAD IAH IBZ ICN INN INV IST JED JFK JMK JNB JRO JSI KEF KGL KGS KIX KLX KRK KRS KTT KUL KWI LAS LAX LBA LCA LCY LHR LIM LIN LIS LJU LOS LPA LPI LUX LYS MAD MAH MAN MCO MCT MEX MIA MJT MLA MME MNL MPL MRS MSP MUC NAP NBO NCE NCL NDR NRT NTE NWI OLB OPO ORD ORK ORY OSL OTP OUD OVD PBM PDL PDX PEK PFO PHL PKX PLQ PMI PMO POS POZ PRG PRO PSA PTY PVG PVK RAK RBA RHO RIX RMF RMO RNS RUH RVN SAN SAW SCL SCQ SEA SFO SIN SJO SKG SKP SLC SMI SOF SOU SPC SPU SSH STR SVG SVQ SXB SXM SZG TBS TFS TIA TIV TLL TLS TLV TNG TOS TPA TPE TRD TRN TTU UIO VCE VIE VLC VRN WAW WRO XMN YEG YHZ YUL YVR YYC YYZ ZAG ZNZ ZRH ZTH"
"AMV","1","NNM"
"ANC","37","ADK ADQ AKN ANI ATL BET BOI BOS CDB CDV DEN DFW DLG DUT ENA FAI FRA GEG GKN HNL HOM IAH ILI LAS MSP ORD OTZ PHX SAN SCC SDP SEA SFO SLC VDZ YVR YYC"
"ANF","5","CCP CLO LIM LSC SCL"
"ANI","13","ANC ANV BET CHU CKD HCR KGX KLG RDV RSH SHX SLQ SRV"
"ANR","3","ALC BZO PMI"
"ANS","1","LIM"
"ANU","34","ATL AXA BBQ BGI CLT CTG DCF DOM EIS EWR FDF FRA GEO GND JFK KIN LGW LHR LOS MAN MBJ MIA MNI NEV PLS POS PUJ SBH SDQ SKB SLU SVD SXM YYZ"
"ANV","3","ANI KGX SHX"
"ANX","5","BOO EVE OSL SKN TOS"
"AOE","2","BRU OST"
"AOG","3","PKX PVG TFU"
"AOI","14","BCN CRL CTA FCO KRK LIN MAD MUC NRN OLB ORY PMO STN TIA"
"AOJ","7","CTS HND ICN ITM NKM TPE UKB"
"AOK","20","AMS ARN ATH BGY BLQ DUS FCO FRL HEL HFA INN KSJ MXP NAP OSL PRG RHO VCE VIE VRN"
"AOO","1","CLT"
"AOQ","1","JUV"
"AOR","3","JHB KUL SZB"
"AOT","2","CAG PMO"
"APA","2","DAL LAS"
"APC","3","BUR SNA VNY"
"APD","4","BPN KDI MOH UPG"
"APF","1","HPN"
"APL","6","BEW JNB MPM NBO TET VXC"
"APN","1","DTW"
"APO","2","BOG EOH"
"APW","7","AKL BNE HNL MXS NAN PPG SYD"
"AQA","1","VCP"
"AQG","6","CAN CGO HSN PEK SZX TSN"
"AQI","4","DXB HAS JED RUH"
"AQJ","4","AMM CAI IST MSQ"
"AQP","2","CUZ LIM"
"ARC","3","FAI FYU VEE"
"ARD","1","KOE"
"ARH","9","AER AMV AYT CEE KGD LED MMK NNM SVO"
"ARI","5","CCP IQQ LPB LSC SCL"
"ARK","11","DAR HTMR JRO LKY MBA MFA MWZ PMA SEU TGT ZNZ"
"ARM","3","BNE CFS SYD"
"ARN","140","AAR ACE ADB ADD AGP AJR ALC AMM AMS AOK ATH AUA AYT BBU BCN BEG BER BEY BGO BGY BIA BIO BIQ BJV BKK BLQ BNX BOJ BOO BRU BSL BUD BVC CAI CDG CFU CGN CHQ CRL CTA CUN DBV DLM DOH DUS DXB EDI ESB FLR FNC FRA FUE GDN GVA GZP HAJ HAM HEL HER HKT HND INI IOA IST JFK JSI JTR KBV KEF KGS KLX KSD KYA LCA LHR LIS LLA LPA LUX LXS LYS MAD MAN MIA MJT MMX MPL MRS MRU MUC MXP OER OLB ORY OSL OTP PEK PMI PMO POZ PQC PRG PSA PUJ PUY PVG PVK RAK RHO RIX RJK SAW SCR SID SKG SMI SPU SZG TFS THN TIA TIV TLL TRN TRS TSF TUN UME VAR VBY VCE VHM VIE VOL WAW YYZ ZAG ZNZ ZRH ZTH"
"ART","1","PHL"
"ARU","4","BPS CGH MCZ VCP"
"ARX","1","CNF"
"ASB","20","BKK CRZ DEL DME DXB FRA IST KEA KRW KUL KZN MED MXP MYP OVB PEK SGN TAZ URC XIY"
"ASD","1","NAS"
"ASE","12","ATL AUS CLT DEN DFW IAH LAX ORD PHX SFO TEB VNY"
"ASF","7","AER KZN LED MRV SVO UFA VKO"
"ASJ","11","FUK HND ITM KIX KKX KOJ NRT OKA OKE RNJ TKN"
"ASM","7","AUH CAI DXB IST JED JUB PZU"
"ASO","1","ADD"
"ASP","10","ADL BNE CNS DRW GTS KTR MEL PER SYD TCA"
"ASR","19","ADB AMS AYT BER BRU BSL CGN DUS ECN FRA HAJ IST MUC PRG RTM SAW STN STR VIE"
"ASU","18","AEP BOG BSB COR FLN GIG GRU IQQ JUJ LIM MAD MIA MVD PDP PTY SCL SLA VVI"
"ASV","2","MBA WIL"
"ASW","2","ABS CAI"
"ATA","1","LIM"
"ATD","1","HIR"
"ATH","182","ADB ADD AGP AMM AMS AOK ARN ATL AUH AXD BAH BBU BCN BEG BEN BER BES BEY BGW BGY BHX BIO BLQ BNX BOD BOM BOS BRI BRS BRU BSL BTS BUD CAI CDG CFU CGN CHQ CLJ CLT CMN CPH CRA CTA DAM DBV DEL DFW DOH DUB DUS DXB EBL EDI EFL EIN EVN EWR FCO FLR FRA GDN GOT GVA GYD HAJ HAM HBE HEL HER HFA IAD IBZ ICN INI INN IOA IST JED JFK JIK JKH JKL JMK JNX JSH JSI JSY JTR JTY KGS KIT KLX KRK KSO KTW KUT KVA KZI LCA LGW LHR LIL LIS LJU LRS LTN LUX LXR LXS LYS MAD MAN MJI MJT MLA MLO MPL MRS MUC MXP NAP NCE NTE OLB OPO ORD ORY OSL OTP PAS PEK PFO PHL PMI PMO PRG PSA PVG RAK RHO RIX RMO RTM RUH SAW SHJ SIN SJJ SKG SKP SKU SMI SOF SPU SSH STN STR SVQ SXB TBS TFU TGD TIA TLL TLS TLV TSR TUN VAR VCE VIE VLC VRN WAW WMI WRO YUL YYZ ZAG ZRH ZTH"
"ATK","2","AIN BRW"
"ATL","227","ABE ABQ ABY ADD AEX AGS ALB AMS ANC ANU ASE ATH ATW AUA AUH AUS AVL BCN BDA BDL BGI BGR BHM BJX BNA BOG BOI BON BOS BQK BRU BTR BTV BUF BUR BWI BZE BZN CAE CDG CHA CHO CHS CID CLE CLT CMH COS CPH CPT CSG CTG CUN CUR CVG CZM DAB DAL DAY DCA DEN DFW DHN DOH DSM DTW DUB ECP EDI EGE ELP EVV EWR EYW EZE FAR FAY FCO FLL FRA FSD FWA GCM GDL GEG GIG GLH GND GNV GPT GRB GRR GRU GSO GSP GTR GUA HDN HND HNL HOU HPN HSV HVN IAD IAH ICN ICT ILM IND IST JAC JAN JAX JFK JNB KIN LAL LAS LAX LEX LGA LHR LIM LIR LIT LOS MAD MAN MBJ MCI MCO MDT MDW MEM MEX MGM MHH MIA MKE MKL MLB MLU MOB MSN MSP MSY MTY MUC MXP MYR NAP NAS OGG OKC OMA ONT ORD ORF PBI PDX PHL PHX PIT PLS PNS POP PSP PTY PUJ PVD PVR PWM QRO RAK RAP RDU RIC RNO ROA RSW RTB RUH SAL SAN SAP SAT SAV SBN SCL SDF SDQ SEA SFO SGF SHV SJC SJD SJO SJU SMF SNA SRQ STL STT SVD SXM SYR TLH TLV TPA TQO TUL TUS TYS UIO UVF VCE VLD VPS XNA YEG YUL YVR YYC YYZ ZRH"
"ATM","1","BEL"
"ATQ","20","AMD BHX BLR BOM CCU COK DEL DMK DOH DXB HYD KUL KUU LGW MAA PNQ SHJ SIN SLV SXR"
"ATT","5","BET KSM KUK MLL NUP"
"ATW","25","ATL AZA BNA CLT DEN DFW DTW EWR FLL GPT GUF IFP LAS MCO MSP ORD PDX PGD PHX RNO RSW SAV SFB SNA SRQ"
"ATY","2","DEN MSP"
"ATZ","9","AHB AJF AUH CAI DMM JED KWI RUH TUU"
"AUA","36","AMS ATL BGA BOG BON BOS BWI CLO CLT COR CUR DFW EWR EZE FLL GRU IAD IAH JBQ JFK LGA LIM MAD MCO MDE MIA MSP ORD PBM PHL PTY PUJ SDQ SXM YUL YYZ"
"AUC","4","BGA BOG CUC VVC"
"AUG","1","BOS"
"AUH","122","ADB ADD AGP ALA AMD AMM ASB ATH ATZ AYT BAH BBI BER BEY BGW BLR BOM BRU BUD CAI CCJ CGK CGN CGP CJB CLJ CMN CNN COK DAC DAM DEL DMM DOH DPS DUB DUS EVN FBM FIH FRA GOX GVA HAK HAN HBE HGH HKT HRE HYD ISB IST IXC IXE IXM JED JFK JMK JTR KBL KBV KHI KIX KRK KTI KTM KTW KUL KWI KZN LED LEJ LHE LHR LIS LKO LOS LUX LYP MAA MAD MCT MCX MED MEL MUX NCE NQZ NUE ORD OTP PEK PEW PMI PNQ PRG PVG PZU RUH SAW SEZ SIN SKT SLL SOF SPX SVO SYD SZX TAS TBS TFU TPE TRV TRZ TZX VIE VKO VTZ WAW ZNZ ZYL"
"AUK","2","BET EMK"
"AUL","1","MAJ"
"AUQ","4","NHV PPT UAH UAP"
"AUR","1","ORY"
"AUS","59","ABQ AMS ATL AVL BNA BOS BZN CLT CMH CUN CVG DEN DFW DSM DTW ECP EWR FLL FRA GCM GRR HDN HRL IAD IAH IND JFK LAS LAX LHR MCI MCO MEM MEX MIA MSP MTJ MTY ORD PDX PHL PHX PIT PSP PTY PVU RDU SAN SEA SFB SFO SJD SLC SRQ TYS YUL YVR YYC YYZ"
"AUU","3","CNS IRG WEI"
"AUX","1","PMW"
"AVA","1","PKX"
"AVL","25","ATL AUS BOS CLT DCA DEN DFW EWR EYW FLL HOU LAS LGA MCO MDW MIA MSP ORD PBI PGD PHL PHX SFB SRQ VPS"
"AVP","8","CLT FLL IAD MCO MYR ORD RSW TPA"
"AVV","5","ADL BNE CBR DPS SYD"
"AWA","1","ADD"
"AWB","2","DAU TDS"
"AWZ","25","AZD BND BUZ DXB GSM IFN IST JED KER KHK KIH KWI LFM LVP MCT MED MHD PGU RAS SHJ SRY SXI SYZ TBZ THR"
"AXA","14","ANU BWI EIS EUX EWR MIA NEV SBH SDQ SJU SKB STT SXM VIJ"
"AXD","3","ATH HER JSH"
"AXF","5","CIF DSN HET TGO XIL"
"AXJ","2","FUK KMJ"
"AXM","3","BOG FLL MDE"
"AXP","2","CRI NAS"
"AXR","2","AHE PPT"
"AXT","6","CTS HND ITM NGO OKD TPE"
"AXU","4","ADD GDQ LLI MQX"
"AXX","1","ABQ"
"AYJ","7","AMD BLR BOM DED DEL HSS HYD"
"AYN","7","CAN HRB PVG SHE SYX SZX TFU"
"AYP","2","CUZ LIM"
"AYQ","4","BNE CNS MEL SYD"
