"origin","nb_outlinks","outlinks"
"RVK","2","OSY TRD"
"RVN","43","ADB AMS BCN BER BFS BGY BHX BOD BRS BVA CDG CPH CRL DUB DUS EDI FCO FRA GVA HEL IST LGW LPL LTN LUX LYS MAD MAN MUC MXP NAP NCE NCL ORY SEN SNN STN STR TLV TOS VIE WAW ZRH"
"RVV","3","PPT RUR TUB"
"RVY","1","MVD"
"RXS","1","MNL"
"RZE","15","ALC BJV BRS DUB EWR FCO FRA GDN LTN MAN MLA MXP TGD WAW ZAD"
"RZR","2","MHD THR"
"RZV","9","ADB ELQ ESB IST JED KWI MCT RUH SAW"
"SAB","1","SXM"
"SAE","2","IKE UMD"
"SAF","6","DAL DEN DFW IAH LAX PHX"
"SAG","5","BLR CJB DEL HYD MAA"
"SAH","1","AMM"
"SAI","17","BKK CCU DAD DMK DXB HAN HKT KMG KOS KTI KUL LPQ PKZ PQC SGN SIN SZX"
"SAL","32","ATL BOG BOS CUN DFW EWR GUA GYE IAD IAH JFK LAS LAX LIM MAD MCO MDE MEX MGA MIA OAK ONT ORD PTY RTB SAP SFO SJO UIO XPL YUL YYZ"
"SAN","76","ABQ AMS ANC ATL AUS BOI BOS BWI BZN CLT CMH COS CVG DEN DFW DTW EGE ELP EUG EWR FAT FCA FLL GEG HDN HNL HOU IAD IAH IND JAC JAX JFK LAS LAX LHR MCO MFR MIA MKE MRY MSO MSP MSY MUC NRT OAK OGG OMA ORD ORF PDX PHL PHX PIT PTY PVR RDU RNO SAT SBA SBP SEA SFO SJC SLC SMF STL STS TPA TUL TUS YUL YVR YYC YYZ"
"SAP","17","ATL BZE EWR FLL GUA IAH JFK LCE MAD MCO MEX MIA MSY PTY RTB SAL SJO"
"SAQ","1","NAS"
"SAR","2","MHD THR"
"SAT","46","ABQ ATL BJX BNA BOS BWI CLT COS CUN DAL DCA DEN DFW DTW ELP EWR FLL HOU IAD IAH JFK LAS LAX MCI MCO MDW MEM MEX MIA MSP MSY MTY ORD PHL PHX PNS QRO RDU SAN SEA SFO SLC STL TPA TRC YYZ"
"SAU","3","ENE KOE WGP"
"SAV","27","ATL ATW BDL BOS BWI CAK CLT CMH DCA DEN DFW DTW EWR FLL GRR HPN HVN IAD IAH JFK LGA MIA MSP ORD PHL PVD STL"
"SAW","95","ADB ADF AKX ALA ALC ALG AMS ARN AUH AYT BAH BAL BEG BER BEY BGW BGY BHX BJV BRS BSL BSZ CAI CGN CIT CMN COV CRL DMM DNZ DOH DTM DUS DXB EDO ELQ ESB EZS FCO FRA GYD GZT HAM HBE HEL HSA IFN IGD JED KBL KHI KSY KUL KWI LED LGW LJU LYS MCT MED MJT MQM MRS MUC MZH NAV NCE NQZ NUE OGU OSL OTP PRG PRN RHO RMO RUH RZV SCO SHJ SPX SSH STN STR SZF TBS TJK TNG TZX URA VAN VAS VIE ZAG ZRH"
"SBA","12","DEN DFW LAS LAX ORD PDX PHX SAN SEA SFO SLC SMF"
"SBD","2","PVU SFO"
"SBG","1","BTJ"
"SBH","8","ANU AXA PTP SAB SFG SJU STT SXM"
"SBN","13","ATL CLT DFW DTW FLL IAD LAS MCO MSP ORD RSW SFB TYS"
"SBP","6","DEN DFW LAX PDX PHX SFO"
"SBR","4","GIC HID SYU XMY"
"SBT","2","DME VKO"
"SBW","8","BKI BTU JHB KCH KUL MKM MYY SIN"
"SBY","4","CLT FLL MCO PHL"
"SBZ","12","BGY BHX DTM FCO FKB FMM HER LCA MAD NUE RHO VIE"
"SCC","5","ANC BRW BTI FAI NUI"
"SCE","2","ORD PHL"
"SCF","8","APA BUR CLD DAL LAS SLC SMO SNA"
"SCK","2","LAS PHX"
"SCL","65","AEP AKL AMS ANF ARI ASU ATL BBA BCN BOG BRC BSB CCP CDG CJC CLO CNF COR CTG CUN CUZ CWB DFW EZE FLN FOR FTE GIG GRU GYE IAH IGU IQQ IST JFK LAX LHR LIM LPB LSC MAD MCO MDE MDZ MEL MEX MIA MPN MVD NQN PDP PMC PNT POA PTY PUJ PUQ REC SSA SYD TRU VVI YUL YYZ ZCO"
"SCM","3","BET HPB VAK"
"SCN","8","ALC AYT BER HAM HER PMI RHO SUF"
"SCO","22","AKX ALA BUS CIT DOH DXB EVN GUW GYD HSA IST KGF KOV KUT NCU NQZ SAW SVO TBS UFA UGC URA"
"SCQ","24","ACE AGP ALC AMS BCN BIO BSL CRL DUB EWR FRA FUE GVA IBZ MAD MLN ORK RAK STN SVQ TFN TFS XRY ZRH"
"SCR","12","AAL AAR AGH AMS ARN BRU CPH DUS GRQ LGW MAN THN"
"SCT","4","AAY ADE JED RIY"
"SCU","7","CUR HAV JBQ KIN MIA PAP PBM"
"SCV","11","BGY BHX BLQ CRL DTM FKB HER LCA LTN OTP SSH"
"SCW","10","AER LED MRV NNM SVO SVX USK UTS VKO VKT"
"SCY","2","GYE UIO"
"SCZ","2","HIR LLM"
"SDD","5","CBT LAD NOV VPE WDH"
"SDE","1","AEP"
"SDF","27","ATL BOS BWI CHS CLT DCA DEN DFW EWR FLL IAD LAX LGA MCO MDW MIA MSP ORD PHL PHX RDU RSW SAV SFB SFO TPA VPS"
"SDJ","14","CTS DMK FUK HIJ HKG ICN ITM KHH KIX NGO OKA PVG TPE UKB"
"SDK","4","BKI KUL LDU TWU"
"SDL","2","ARN LPA"
"SDN","4","BGO HOV OSL SOG"
"SDP","2","ANC CDB"
"SDQ","20","ANU BOS BRM CCS EIS EWR EZE FCO GEO MAR MIA PAP PBM PHL SAL SJU STX SXM VLN YUL"
"SDR","20","AGP ALC BCN BLQ CRL DUB GRX IBZ LPA MAD MAH OTP PMI SOF SVQ TFN TIA VGO VLC XRY"
"SDU","7","BPS BSB CGH CNF GRU SSA VCP"
"SDW","3","BLR HYD PNQ"
"SDY","1","BIL"
"SEA","122","ABQ ACV AMS ANC ATL AUS BCN BIL BLI BNA BOI BOS BUR BWI BZE CDG CKG CLE CLT CMH CPH CUN CVG DCA DEN DFW DOH DTW DUB DXB EAT EGE EUG EWR FAI FAT FCA FCO FRA GDL GEG GTF HDN HEL HKG HLN HND HNL HOU IAD IAH ICN ICT IDA IND IST JAC JFK JNU KEF KOA LAS LAX LGB LHR LIH LIR LWS MCI MCO MDW MEX MFR MIA MNL MRY MSP NRT OAK OGG OKC OMA ONT ORD PDX PEK PHL PHX PIT PSC PSP PUW PVG PVR RDM RDU RNO RSW SAN SAT SBA SBP SFO SIN SIT SJC SJD SLC SMF SNA STL STS SUN TPA TPE TUL TUS YKM YLW YVR YYC YYZ"
"SEB","2","BEN MJI"
"SEK","2","PWE YKS"
"SEN","16","ACE ALC AMS AYT BCN BER BUD GVA LEI LPA NBE PRO PSA RAK SZG TFS"
"SES","1","KJA"
"SEU","8","ARK DAR EBB JRO LKY MWZ PMA ZNZ"
"SEZ","20","ADD AUH BOM CDG CMB DAR DOH DXB FCO FRA IST JNB MRU NBO PRI SVO TFU TLV TNR ZRH"
"SFA","4","BEN MJI MRA ORY"
"SFB","0",""
"SFD","1","CCS"
"SFF","1","BFI"
"SFG","3","FDF PTP SBH"
"SFJ","4","CPH GOH JAV JHS"
"SFL","1","RAI"
"SFN","1","AEP"
"SFO","132","ABQ ADL AKL AMS ANC ASE ATL AUS BCN BIH BNA BNE BOI BOS BUR BWI BZE BZN CAN CDG CHC CLE CLT CMH CPH CUN CVG DAL DCA DEL DEN DFW DOH DTW DUB DXB EGE EUG EWR FCO FLL FRA GDL GEG GUA HDN HKG HND HNL IAD IAH ICN IND IST JAC JFK KIX KOA LAS LAX LHR LIH LIR LIS LTO MAD MCI MCO MDW MEL MEX MFR MIA MNL MRY MSO MSP MSY MTJ MUC NAN NRT OGG OMA ONT ORD ORY OTH PDX PEK PHL PHX PIT PPT PSP PTY PVG PVR PVU RDM RDU RIC RNO RSW SAL SAN SAT SBA SBD SBP SDF SEA SGN SIN SJD SJO SLC SNA STL SYD TER TPA TPE TUS WAW WUH YUL YVR YYC YYZ ZIH ZRH"
"SFT","2","ARN GDN"
"SGC","38","AER AYT BAX BSZ CEK CSY DWC EVN EYK FEG GRV GYD HKT KJA KRR KZN LBD LED MCX MRV NBC OMS OSS OVB PEE RGK RMZ STW SVO SVX TAS TJM TOF UFA URJ UUA VKO VOG"
"SGD","3","CPH PRO RNN"
"SGF","7","ATL CLT GUF LAS ORD PHX PIE"
"SGG","1","AGM"
"SGN","72","AMD ASB BKI BKK BLR BMV BOM CAN CCU CDG CEB CKG CSX CXR DAD DEL DIN DLI DMK DPS DXB DYG HAK HAN HGH HKG HND HUI ICN IST KHH KMG KOS KTI KUL LHR LJG MEL MNL MUC NGB NGO NKG NNG NRT PBH PEK PER PKX PKZ PQC PUS PVG PXU RGN RMQ SAI SIN SVO SYD SZX TAO TBB TFU TNA TPE UBN VDH VII VTE WUH XMN"
"SGO","4","BNE CMA WTB XTG"
"SGU","6","DEN DFW LAX ORD PHX SLC"
"SGX","2","DAR MYW"
"SGY","2","HNS JNU"
"SHA","82","BHY CAN CGD CGO CGQ CKG CSX CTU CWJ DAT DIG DLU DNH DOY DQA DSN ENH FOC FUG FUO GMP HAK HET HKG HLD HLH HND HNY HRB INC IQN JDZ JGN JJN JUH KCA KHG KHN KMG KOW KWE LHW LJG LUM LXA LYA LYI LZH LZO MDG MFM PEK PKX SHE SJW SQJ SWA SYX SZX TAO TFU TNA TSA TSN TYN URC UYN WEH WNH WUA WUH WUS XAI XFN XIY XMN XNN YNJ YNT YNZ ZQZ ZUH"
"SHB","3","CTS HND OKD"
"SHC","3","ADD MQX SZE"
"SHD","1","CLT"
"SHE","102","AYN BAV BHY CAN CGO CIH CJJ CJU CKG CSX CTU CXR CZX DOY DSN DXB DYG DZH ENY FNJ FOC FRA HAK HAN HDG HET HFE HGH HIA HKG HLD HLH HSN HUO HUZ ICN IKT INC JHG JMU JNG JUH JXA KHN KIX KMG KWE KWL LDS LHW LJG LYA LYG NDG NGB NKG NNG PEK PKX PUS PVG RIZ SAI SHA SHF SHS SIN SJW SWA SYX SZX TAO TCG TCZ TFU TNA TPE TYN URC UYN VVO WDS WEF WNZ WUH WUT WUX XAI XFN XIY XMN XNN XUZ YBP YCU YIH YIW YNT YNZ YTY ZHA ZUH"
"SHF","16","AAT ACF AKU DLC FOC HMI HTN KRL LHW PVG SHE SJW TCG TNA TWC YIN"
"SHG","3","ABL OBU OTZ"
"SHH","2","OME WAA"
"SHI","10","FUK HKG HND ICN KIX NRT OKA RMQ TPE UKB"
"SHJ","80","ADD AER AHB AJF ALA ALP AMD AMM ATQ ATZ AWZ BAH BEY BGW BKK BLR BND BOM BSA CAI CCJ CGP CNN COK DAC DAM DEL DME DMM DOH EBB EBL ELQ EVN FCO GOX GSM HAS HBE HKT HYD IDR IKA ISB JED KBL KRK KUL KWI LGW LHE LKO LOS LRR LYP MAA MCT MED MHD MLE MSQ MUX PEW RUH SAW SKT STV SVX TAS TBS TRV TRZ UET VGA VIE VNS WAW WMI ZBR ZYL"
"SHL","9","AJL CCU DEL DIB DMU GAU IMF IXI TEZ"
"SHM","1","HND"
"SHO","4","CPT DUR HRE JNB"
"SHR","1","DEN"
"SHS","22","CAN CKG FOC HAK KMG KWE KWL NNG PKX PVG SHE SYX SZX TAO TFU TNA TSN TYN WNZ XIY XMN ZUH"
"SHV","9","ATL BNA CLT DEN DFW IAH LAS SFB VPS"
"SHW","4","AHB JED RUH TIF"
"SHX","1","MRI"
"SIC","0",""
"SID","50","AMS ARN BCN BGO BGY BHX BIO BLL BOD BRQ BRS BRU BTS BVC CDG CMN CPH DSS DUS EIN FCO FRA GOT HAJ KTW LGW LIS LPA LUX LYS MAD MAN MRS MUC MXP OPO ORY OSL PRG SNE SOF STR SVG TLS VIE VIT VRN VXE WAW ZRH"
"SIF","2","KTM PHH"
"SIG","2","CPX VQS"
"SIH","1","DHI"
"SIN","128","ADD ADL AKL AMD AMS ATQ AUH BAH BKI BKK BLR BNE BOM BWN CAN CCU CDG CEB CGK CGO CGQ CHC CJU CKG CMB CNX CRK CSX CTS DAC DAD DEL DIL DMK DOH DPS DRW DVO DXB DYG FCO FOC FRA GAU HAK HAN HEL HFE HGH HKG HKT HND HRB HYD ICN ILO IPH IST JED JJN JNB KBR KCH KHH KHN KIX KMG KNO KTI KTM KUA KUL KWE LGK LGW LHR LHW LXA MAA MCT MCY MDC MEL MFM MNL MUC NAN NGB NOU NRT NTL PBH PEK PEN PER PKX PLM POM PQC PUS PVG RGN SFO SGN SUB SWA SYD SYX SZB SZX TAO TFU TNA TPE TRZ UBN USM VTE VTZ WNZ WUH WUX XIY XMN YIA YIH YVR ZRH"
"SIP","42","ARH CEE CSY DME EGO ESL GSV IKT IWA KEJ KJA KMW KRO KRR KVX KZN LED LPK MMK MQF MRV NBC NJC NOZ OMS OVB PES PEZ ROV SCW SGC SVO TJM TOF UFA ULV URS UUA VKO VOG VOZ YKS"
"SIQ","6","BTH DJB PGK PKU TJB TNJ"
"SIR","1","PMI"
"SIT","15","AFE AGN ELV GST HNH HNS JNU KAE KLW KTN PAQC PEC SEA SGY TKE"
"SIW","0",""
"SJC","32","ATL AUS BJX BOI BUR BWI DEN DFW GDL GEG HNL HOU IAH KOA LAS LAX LIH MDW MLM MSP NRT ONT ORD PDX PHX PVR RNO SAN SEA SJD SLC ZCL"
"SJD","42","ATL AUS BNA BWI CUL DEN DTW EWR FRA GDL IAH IND JFK LAS LAX MCI MDW MEX MSP NLU OAK ORD PTY SAN SEA SFO SJC SLC SMF SNA STL TIJ TLC VNY YEG YLW YUL YVR YWG YYC YYJ YYZ"
"SJE","2","BOG LET"
"SJI","1","CRK"
"SJJ","33","ADB ARN AYT BEG BER BGY BJV CGN CPH CRL DXB ESB FCO FRA HRG IST JED KWI LTN MCT MIR NRN ORY OSL RUH SAW STN STR TLV VIE WAW ZAG ZRH"
"SJK","1","GIG"
"SJL","1","MAO"
"SJO","42","AMS ATL BLB BNA BOC BOG BWI CDG CLT CUN DEN FLL FRA GUA IAD IAH JFK LAX LHR LIM MAD MCO MDE MEX MGA MIA MTY NOB ORD PTY SAL SAP SDQ TMU TNO TPA TTQ UIO XQP YUL YYZ ZRH"
"SJP","12","BPS BSB CGB CGH CNF FOR GRU JPA MCZ NAT REC VCP"
"SJT","1","DFW"
"SJU","58","ATL AUS AXA BDL BNA BOG BOS BUF BWI CLT CPX DCA DEN DFW DOM DTW EIS EWR FLL HOU HPN HVN IAD IAH ILG IND JAX JFK LAL LGA MAD MAZ MCO MDE MDW MIA MSP ORD ORF PHL PTY PUJ PVD RDU RIC SBH SDQ SKB STI STL STT STX TPA USA VIJ VQS YUL YYZ"
"SJW","63","BAV BHY BPE CAN CDE CGQ CIF CKG CTU DBC DLC DLU FOC FUO GYS GYU HAK HET HGH HIA HKG HLD HRB HUZ ICN INC JHG KHN KMG KRL KWE KWL LHW LUM LXA LYG LZO MIG NDG NTG PUS PVG RKZ SHA SHE SHF SYX SZX TFU TGO UCB URC UYN WNZ XMN XNN YIH YIW YKH YNJ YNZ YSQ ZQZ"
"SJZ","2","PDL TER"
"SKB","19","ANU ATL AXA BGI CLT DOM EIS EUX EWR JFK LGW MIA NEV POS SDQ SJU STT SXM YYZ"
"SKC","2","DAU OBX"
"SKD","29","ADB AER ALA BHK CAN DME DXB DYU GYD HSA IST JED KHV KJA KRR LED MED NMA NQZ OVB SVO SVX TAS TLV UFA UGC VKO XIY ZIA"
"SKG","85","ADB AMM AMS ARN ATH BCN BEG BER BGY BHX BLQ BRS BRU BSL BTS BUD BVA BZO CAI CDG CGN CHQ CLJ CPH DBV DUB DUS EDI EMA EVN FRA GDN GVA HAJ HAM HEL HER IAS IST JIK JKH JMK JNX KGS KLX KRK KTW KUT KVO LBA LCA LCY LGW LHR LUX LXS MAN MJT MLO MUC MXP NAP NCL NUE ORY OSL OTP PAS POZ PRG RHO RIX RMO SMI STN STR TBS TLV TSR VCE VIE WAW WMI ZRH ZTH"
"SKH","5","BJU IMK JUM KTM VNRR"
"SKJ","1","CGK"
"SKK","3","KKA OME UNK"
"SKN","4","ANX BOO OSL TOS"
"SKP","31","ADB ATH AYT BCN BEG BER BJV BRI BTS COV CRL DTM ESB FCO FRA GVA IST LJU LTN MAD NUE ORY OSL PMO PRG SAW TRF VIE WAW ZAG ZRH"
"SKT","11","AUH BAH DMM DOH DXB JED KHI KWI MCT RUH SHJ"
"SKU","3","ATH PRG SKG"
"SKX","8","AER AYT KZN LED MRV SSH SVO SVX"
"SKZ","2","ISB KHI"
"SLA","15","AEP ASU BRC COR EZE FLN GRU IGR LIM MDZ NQN PTY RES ROS TUC"
"SLC","93","ABQ AMS ANC ATL AUS BIL BNA BOI BOS BTM BUR BWI BZN CDC CDG CLE CLT CMH CVG DAL DCA DEN DFW DTW EKO EUG EWR FAT FCA FLL GDL GEG GTF HLN HNL HOU IAH IDA IND JAC JFK KOA LAS LAX LGA LGB LHR LIM LIT MCI MCO MDW MEM MEX MKE MSO MSP MTY OAK OGG OMA ONT ORD PDX PHL PHX PIH PIT PSC PSP PVR RDM RDU RNO RSW SAN SAT SCF SEA SFO SGU SJC SJD TPA TUL TUS TWF WYS XNA YEG YVR YYC YYZ"
"SLH","1","SON"
"SLI","1","LUN"
"SLJ","1","PER"
"SLK","2","BOS JFK"
"SLL","20","ALA AUH BTS CCJ COK DMM DOH DXB KWI MCT MSQ NQZ OHS PRG RUH SHJ SVO SVX TAS ZRH"
"SLM","1","PMI"
"SLN","2","IAH ORD"
"SLP","10","ATL CUN DFW IAH MDW MEX MTY NLU SAT TIJ"
"SLQ","2","ANI SRV"
"SLU","9","ANU BGI DOM FDF GND POS PTP SVD SXM"
"SLV","3","ATQ DEL DHM"
"SLW","4","CUN GDL MTY NLU"
"SLX","0",""
"SLY","4","HMA KZN NUX OVB"
"SLZ","12","BEL BSB CGH CNF FOR GIG GRU IMP LIS REC SSA VCP"
"SMA","2","LIS PDL"
"SMF","49","ANC ATL AUS BJX BNA BOI BUR BWI CLT DAL DEN DFW DTW EUG EWR GDL GEG HNL HOU IAD IAH JFK KOA LAS LAX LGB LIH MCI MCO MDW MLM MSP OGG ONT ORD PDX PHX PSP PVR SAN SBA SEA SFO SJD SLC SNA STL YVR YYZ"
"SMI","21","AMS ARN ATH BHX BRU DUS FRA JKH LGW LXS MAN MJT MUC MXP PRG RHO SKG STN TRD VIE ZRH"
"SMK","3","OME UNK WBB"
"SML","3","FXE LGI NAS"
"SMO","3","APC LAS SCF"
"SMQ","6","BDJ CGK PKN PKY SRG SUB"
"SMR","6","BGA BOG CLO MDE PEI PTY"
"SMS","2","TMM TNR"
"SMT","2","CGB VCP"
"SMX","2","LAS PHX"
"SNA","51","APC ATL ATW AUS BNA BOI CCR CLT CMH COS CVG DAL DEN DFW DSM DTW EUG EWR GEG GJT GRR IAH JFK LAS MCO MRY MSP MTJ OAK OGD ORD PAE PDX PHX PSC PVR PVU RDU RNO SCF SEA SFO SJC SJD SLC SMF STS TPA TUS YVR YYC"
"SNB","2","DRW GPN"
"SNE","3","RAI SID VXE"
"SNN","18","AGP ALC BHX BOS CFU CIA EWR FRA JFK KUN LGW LHR LPA MAD ORD PMI REU TRN"
"SNO","1","DMK"
"SNP","4","ANC CDB DUT STG"
"SNU","5","MIA PTY YHZ YUL YYZ"
"SNV","2","CAJ CGU"
"SNW","6","AKY BSX HEH KYP MDL RGN"
"SOC","5","CGK DPS JED MED TIM"
"SOF","64","ADB AHO ALC AMM AMS ATH AUH AYT BCN BEG BER BHX BRI BRU CDG CFU CGN CHQ CIA CTA DOH DTM DUB DXB FCO FKB FRA HEL HER HFA HKT IST JSI LCA LGW LHR LIS LPL LTN LYS MAD MAN MUC NCE NCL OPO ORY OSL OTP PRG RIX SAW SDR SUF TIA TLV TRN VAR VIE VLC WAW WRO ZAD ZRH"
"SOG","4","BGO HOV OSL SDN"
"SOJ","6","BVG HFT KKN MEH TOS VDS"
"SON","12","BNE HIR LNE LOD MTV MWF NUS SLH SSR VLI WLH ZGU"
"SOQ","17","AMQ AYW BIK BXB CGK DJJ DPS FKQ GEB KNG MDC MKW NBX NTI RJM TIM UPG"
"SOU","16","ACI ALC AMS BCN BFS BHD DUB EDI FAO GCI GLA MAN NCL ORY PMI PRO"
"SOV","0",""
"SOW","1","PHX"
"SOY","2","KOI NDY"
"SPBC","1","IQT"
"SPBL","0",""
"SPC","24","ACE AGP AMS BCN BER BSL DUS FRA FUE HAM LGW LPA LUX MAD MAN MUC NTE PRG SCQ STN STR TFN TFS ZRH"
"SPCM","2","PCL TPP"
"SPD","3","CGP CXB DAC"
"SPEE","1","IQT"
"SPEP","0",""
"SPGP","1","IQT"
"SPI","3","MCO ORD PGD"
"SPN","7","GUM HKG ICN MNL NRT ROP TIQ"
"SPP","1","LAD"
"SPPB","0",""
"SPR","4","BZE CUK CZH TZA"
"SPSE","0",""
"SPU","64","AMS ARN ATH BCN BEG BGO BHX BIO BOD BRI BRU CDG CGN CPH DUB DUS EDI EWR FCO FRA GDN GOT GVA HAM HEL INN IST KRK KTW LBA LCY LGW LHR LIL LLA LTN LUZ LYS MAD MAN MRS MUC NAP NTE OER ORY OSD OSI OSL PRG RIX RTM SFT STN SVG TLL TLS TRD UME VIE WAW WRO ZAG ZRH"
"SPX","19","AHB AUH AYT BER BUD DXB FCO GVA JED KWI LTN MCT MED MXP NCE RUH SAW SHJ ZRH"
"SPY","1","ABJ"
"SQD","13","CAN CKG DLC HAK HRB KMG NNG PEK SZX TFU TSN TYN XIY"
"SQG","1","PNK"
"SQJ","7","CKG CTU KMG LXA PKX SHA TAO"
"SQN","2","AMQ TTE"
"SQR","1","UPG"
"SRE","3","CBB LPB VVI"
"SRG","14","BDJ BPN BTH CGK DPS KUL KWB PKN PKY PNK SIN SMQ SUB UPG"
"SRK","1","NAQ"
"SRP","1","OSL"
"SRQ","54","ALB ATL ATW AUS AVL BDL BLV BOS BUF BWI CAK CID CLE CLT CVG DAL DCA DEN DFW DTW EWR FNT FWA GRR HOU HVN IAH ILG IND ISP JFK LEX LGA MCI MKE MLI MSP ORD PBG PHL PIT PSM PVD PWM RDU RIC ROA ROC SBN SDF SYR TOL TUL YYZ"
"SRT","0",""
"SRU","1","MDL"
"SRV","1","ANI"
"SRY","13","AWZ BND DWC GSM IFN JED KIH MED MHD PGU SYZ THR ZBR"
"SSA","40","AEP AJU BPS BRA BSB CDG CGH CNF COR CPV CWB EZE FOR GIG GNM GRU GYN IOS JPA LEC LIS MAD MCZ MUU MVD MXQ NAT PBA PNZ POA PTY RAO REC SCL SDU SLZ THE VCP VDC VIX"
"SSE","4","BLR BOM GOX HYD"
"SSG","12","ADD BSG CDG CMN DLA FRA GEM LBV LFW MAD NSI PHC"
"SSH","102","ADB AER AKX ALA ALG AMM AMS ARN ATH AYT BAH BBU BCN BEG BER BEY BFS BGW BGY BHX BLQ BQT BRI BRS BRU BSZ BUD CAI CDG CEK CIT CMN CPH CTA CZL DME EDI EIN EMA EVN FCO FRA GLA GOJ GVA GYD HBE HRG IST JED KGD KRR KSN KTW KWI KZN LBA LED LGW LPL LTN LXR MAN MCX MRV MSQ MUC MXP NAP NCL NQZ OMS ORN PEE PPK PRG RAK RDO RIX RMO RUH SAW SCO SKX SOF STN SVO SVX TAS TJM TNG UFA URA VCE VIE VKO VOG VRN VTB WAW ZIA ZRH"
"SSJ","6","BNN BOO OSL OSY RVK TRD"
"SSR","2","SON VLI"
"STB","2","CCS MAR"
"STC","2","AZA PGD"
"STD","5","CCS MAR MUN PMV VLN"
"STG","3","CDB DUT SNP"
"STI","11","BOS EWR FLL JFK MAD MCO MIA PHL PLS PTY SJU"
"STL","52","ATL BOS CHS CLT CMH CUN DAL DCA DEN DFW EWR FLL FRA HOU IAD IAH JBR LAS LAX LGA LHR MBJ MCI MCO MDW MIA MSP MYR ORD ORF PDX PHL PHX PIT PNS PUJ PVR RDU RSW SAN SAT SAV SEA SFO SJU SLC SMF SRQ TPA VPS YUL YYZ"
"STM","11","BEL BSB BVS CNF ITB JRT MAO MTE OBI ORX TMT"
"STN","132","AAR ACE ADB AGA AGP AHO ALC ALG AMM AMS AOI ARN ASR ATH AYT BCN BDS BER BFS BGY BJV BLQ BRE BRQ BVE BZR CDG CFU CGN CHQ CIA CMF CMN COV CTA DLM DUB DXB EDI EFL EIN ESB ESU FCO FEZ FLR FMO FNC FNI GDN GLA GNB GOA GOT GRO GVA GZT HAM HEL HER IBZ IST JTR KGS KLU KLX KRK KSC KTW KUN LCA LEI LIG LIS LPA LRH LUX MAH MLA MMX NAP NBE NCE NOC NTE OLB OMR ORK OSI OSR PEG PFO PLQ PMF PMI PMO PUY QSR RAK REU RHO RMO RMU RTM RVN RZE SAW SKG SOF SPC SSH SUF SVQ SZG SZY SZZ TFS TIV TLL TLS TLV TNG TRN TUF VCE VIE VRN ZAD ZAG ZAZ ZRH ZTH"
"STR","92","ADB AGP ALC AMM AMS ASR ATH AYT BCN BDS BEG BIO BJV BOJ BUD BVC BZO CAG CFU CLJ COV CPH DBV DIY DJE DLM DUB DXB EBL EDI EDO ESB EZS FAO FCO FNC FRA FUE GPA GZT HER HRG IAS IBZ IST JMK JTR KGS KLX KRK KVA KYA LHR LIS LPA MAH MIR MLA MXP OGU OMO OSL OTP PRN PUY PVK RHO RJK RMF RMO RVN SAW SID SJJ SKG SKP SOF SPC SZF TIA TIV TLV TUN TZX VAR VCE VIE WAW XRY YEI ZAD ZRH"
"STS","8","AUS BUR DEN DFW LAS LAX PHX SNA"
"STT","27","ATL AXA BOS BWI CLT DFW DOM EIS EWR FLL IAD IAH JFK MCO MIA MSP NEV NGD NRR ORD PHL SBH SDQ SJU SKB STX VQS"
"STV","13","BKK BLR CCU DEL DIU DXB GOI HYD JAI JGA MAA MDA PNQ"
"STW","5","AER LED SGC SVO SVX"
"STX","10","ATL CLT FLL MIA NEV ORD SDQ SJU STT VQS"
"STY","1","MVD"
"SUB","41","AAP AMQ BDJ BEJ BPN BTH BWN BWX BXW CAN CGK DMK DPS FOC HKG HLP JED JHB KDI KNO KOE KUL LBJ LOP MDC MED PEN PKN PKU PKY PLM PLW PNK SIN SMQ SRG TIM TMC TRK TTE UPG"
"SUF","42","BGY BLQ BRQ BRU BSL BTS BUD BZO CGN CRL DUS FCO FKB FRA GOA GVA INN KTW LGW LIN LUX MAN MXP ORY OSR PRG SCN SOF STR SZG TIA TRN TRS TSF VCE VIE VLC VRN WAW WRO YYZ ZRH"
"SUG","1","CEB"
"SUI","3","PEE SVO VKO"
"SUJ","2","LTN OTP"
"SUK","1","YKS"
"SUN","9","DEN LAX ORD PHX SAN SEA SFO SLC VNY"
"SUP","1","BXW"
"SUR","2","YFH YWP"
"SUV","15","FUN ICI INU KDV KXF LBS LEV LKB MFJ NAN NGI RTA SVU TVU VBV"
"SUX","2","DEN ORD"
"SUY","1","YKS"
"SVA","2","GAM OME"
"SVB","4","DIE TMM TNR WMN"
"SVC","2","ABQ PHX"
"SVD","21","ANU ATL BGI BQU CIW CLT CRU DCF DOM FDF GND JFK LHR MIA MQS POS SLU SXM UNI UVF YYZ"
"SVG","26","ABZ ALC AMS ARN AYT BGO BGY CDG CPH DBV EBJ FRA GDN HEL KRK LGW MAN NCE OSL PMI RHO SID SPU TRD TRF WAW"
"SVI","3","ACR BOG NVA"
"SVJ","4","BOO OSL RET TOS"
"SVK","1","TZA"
"SVL","1","HEL"
