"origin","nb_outlinks","outlinks","weights","nb_airlines"
"BHD","0","","","0"
"BHE","0","","","0"
"BHH","0","","","0"
"BHI","0","","","0"
"BHJ","0","","","0"
"BHK","0","","","0"
"BHM","2","SDF STR","1 1","2"
"BHO","0","","","0"
"BHP","0","","","0"
"BHQ","0","","","0"
"BHR","0","","","0"
"BHU","0","","","0"
"BHX","3","BLL DUB FRA","1 1 1","2"
"BHY","0","","","0"
"BIA","0","","","0"
"BIB","0","","","0"
"BID","0","","","0"
"BIH","3","IYK ONT TPH","1 2 1","2"
"BII","0","","","0"
"BIK","0","","","0"
"BIL","0","","","0"
"BIM","0","","","0"
"BIO","0","","","0"
"BIQ","0","","","0"
"BIR","0","","","0"
"BIS","2","FAR FSD","3 1","3"
"BIU","0","","","0"
"BJA","0","","","0"
"BJB","0","","","0"
"BJF","0","","","0"
"BJH","0","","","0"
"BJI","6","BFI BRD EVM FAR MSN MSP","1 1 1 1 1 2","4"
"BJL","0","","","0"
"BJM","2","ADD KGL","1 1","1"
"BJR","0","","","0"
"BJT","0","","","0"
"BJU","0","","","0"
"BJV","0","","","0"
"BJW","0","","","0"
"BJX","0","","","0"
"BJZ","0","","","0"
"BKA","0","","","0"
"BKB","0","","","0"
"BKC","0","","","0"
"BKI","7","BWN HKG KCH KUL MYY NKG SZX","1 3 2 5 1 1 1","5"
"BKK","40","AMS ANC BLR BOM CAN CGK CGO CSX DAC DMM DWC EHU FRA GYD HAN HKG ICN IST KIX KTI KUL LEJ LGG LUX MAA NNG NRT PEN PVG RGN RUH SHJ SIN SYD SZX TAS TLV TPE UTP ZAZ","1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 4 2 1 1 3 1 2 2 1 1 1 2 2 3 2 1 2 7 1 4 1 1 2 2 1","32"
"BKL","5","AZO HAO LCK MGY YIP","1 1 1 1 1","2"
"BKM","0","","","0"
"BKN","0","","","0"
"BKO","3","LGG LOS LUX","1 1 1","2"
"BKQ","0","","","0"
"BKS","0","","","0"
"BKW","0","","","0"
"BKY","0","","","0"
"BKZ","0","","","0"
"BLA","0","","","0"
"BLB","0","","","0"
"BLE","0","","","0"
"BLI","0","","","0"
"BLJ","0","","","0"
"BLL","4","EHU HGH IST LEJ","1 1 1 1","3"
"BLQ","0","","","0"
"BLR","30","ADD AMS AUH BKK BOM CAN CCU CDG CGN CJB CKG CMB CTU DEL DMM DOH DWC DXB EHU FRA HKG HYD IST KUL LGG MCT SHJ SIN SZX TLV","1 1 1 1 2 1 1 1 2 1 1 1 1 2 1 1 2 1 1 1 1 2 1 1 1 1 1 1 2 1","18"
"BLV","0","","","0"
"BLW","0","","","0"
"BLZ","0","","","0"
"BMA","0","","","0"
"BMB","0","","","0"
"BME","0","","","0"
"BMI","1","MEM","1","1"
"BMK","0","","","0"
"BMO","0","","","0"
"BMU","0","","","0"
"BMV","0","","","0"
"BMW","0","","","0"
"BMY","0","","","0"
"BNA","4","CVG IND MEM RIV","1 1 1 1","2"
"BNB","0","","","0"
"BNC","0","","","0"
"BND","0","","","0"
"BNE","13","ADL BWU CNS HIR HKG INU MEL MKY PER ROK SYD THG TSV","1 1 1 1 3 1 2 1 1 1 1 1 2","6"
"BNI","0","","","0"
"BNK","0","","","0"
"BNN","0","","","0"
"BNS","0","","","0"
"BNX","0","","","0"
"BNY","0","","","0"
"BOB","0","","","0"
"BOC","0","","","0"
"BOD","0","","","0"
"BOG","40","ADD AMS ASU ATL BQN CCS CVG CWB DFW DOH DWC FOR FRA GDL GIG GYE HSV ICN IST JFK LGG LIM LTX LUX MAO MDE MEM MEX MIA MST MVD NRT POS PTY SCL SDF SJU UIO VCP ZAZ","1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 4 19 1 1 1 1 2 2 1 1 8 1 2","27"
"BOH","0","","","0"
"BOI","0","","","0"
"BOJ","0","","","0"
"BOM","63","ADD ALA AMD AMS ASF BAH BKK BLR BRU BSZ CAI CAN CCU CDG CGN CMB CSX CTU DAR DEL DMM DOH DWC DXB FCO FRA GYD HAN HHN HKG HYD IST JED KBL KMG KUL KWI LEJ LGG LHR MAA MCT MEM MFM MLE MUC MXP NBO NNG NRT PVG RDP RKT RUH SHJ SIN SVO TFU TLV TPE UTP VKO XMN","1 1 2 4 1 1 4 5 1 1 2 5 3 3 1 1 1 1 1 5 1 2 4 1 1 4 4 5 1 9 7 1 1 1 1 1 2 4 1 1 2 2 1 1 1 2 2 2 1 1 1 1 2 2 5 2 1 1 1 1 1 1 1","37"
"BON","0","","","0"
"BOO","0","","","0"
"BOR","0","","","0"
"BOS","0","","","0"
"BOT","0","","","0"
"BOX","0","","","0"
"BOY","0","","","0"
"BPA","0","","","0"
"BPE","0","","","0"
"BPG","0","","","0"
"BPH","0","","","0"
"BPL","0","","","0"
"BPN","0","","","0"
"BPS","0","","","0"
"BPT","0","","","0"
"BPX","0","","","0"
"BQB","0","","","0"
"BQG","0","","","0"
"BQJ","0","","","0"
"BQK","0","","","0"
"BQL","0","","","0"
"BQN","13","AMS BGI FDF MEM POS SDQ SJO SJU SKB SLU STI UIO VCP","1 1 1 1 2 2 1 2 1 2 2 1 1","5"
"BQS","0","","","0"
"BQT","0","","","0"
"BQU","0","","","0"
"BQW","0","","","0"
"BRA","0","","","0"
"BRC","0","","","0"
"BRD","3","FAR MSP RST","1 2 1","3"
"BRE","0","","","0"
"BRG","0","","","0"
"BRI","0","","","0"
"BRK","0","","","0"
"BRL","0","","","0"
"BRM","0","","","0"
"BRN","0","","","0"
"BRO","0","","","0"
"BRQ","2","CDG PRG","1 1","1"
"BRR","0","","","0"
"BRS","0","","","0"
"BRT","0","","","0"
"BRU","48","ACC ADD AMS BAH BCN BER BOD BOM BSL CAI CGN CGO CMN CPH CVG DME DOH DUB DWC EMA FRA ICN IST JNB LAX LCK LEJ LHR LOS LTN LYS MAD MIA MRS MUC MWZ MXP ORD PVG RUH SCL SHJ SIN STN SZX TLS VCP VIT","1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1","12"
"BRW","0","","","0"
"BSA","0","","","0"
"BSB","0","","","0"
"BSC","0","","","0"
"BSD","0","","","0"
"BSG","0","","","0"
"BSK","0","","","0"
"BSL","4","DOH ICN VIE YYZ","1 1 1 1","3"
"BSO","0","","","0"
"BSR","0","","","0"
"BSX","0","","","0"
"BSZ","13","ALA BKK CAN CRZ GYD ISB IST NVI PVG SHJ SJW TAS URC","1 1 1 1 1 1 1 1 1 1 1 1 1","7"
"BTC","0","","","0"
"BTH","0","","","0"
"BTI","0","","","0"
"BTJ","2","CGK KNO","1 1","1"
"BTK","0","","","0"
"BTM","0","","","0"
"BTR","0","","","0"
"BTS","0","","","0"
"BTT","0","","","0"
"BTU","0","","","0"
"BTV","6","BGR MEM MHT PWM RUT SYR","1 1 1 1 1 1","2"
"BTW","0","","","0"
"BTZ","0","","","0"
"BUA","0","","","0"
"BUC","0","","","0"
"BUD","19","ALA ASB BKK CDG CGK CGN CGO CTU DOH EHU FRA GYD HKG ICN IST LUX PVG SZX TAS","1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1","11"
"BUF","11","BDL BGM ELM IND MEM PBG PHL RDU SDF SYR YOW","1 1 1 1 1 1 1 1 1 2 1","3"
"BUG","0","","","0"
"BUI","0","","","0"
"BUJ","0","","","0"
"BUL","0","","","0"
"BUN","0","","","0"
"BUP","0","","","0"
"BUQ","0","","","0"
"BUR","0","","","0"
"BUS","0","","","0"
"BUT","0","","","0"
"BUU","0","","","0"
